image# mean_luminance_Haze mean_luminance_AOD clip gridsize PSNR SSIM
6 158.7568 113.4814 0.7 4 20.0653 0.9366
6 158.7568 113.4814 0.7 8 20.6743 0.9375
6 158.7568 113.4814 0.7 12 21.0847 0.9381
6 158.7568 113.4814 0.7 16 21.5573 0.9402
6 158.7568 113.4814 0.8 4 19.8782 0.9337
6 158.7568 113.4814 0.8 8 20.6051 0.9325
6 158.7568 113.4814 0.8 12 21.0280 0.9310
6 158.7568 113.4814 0.8 16 21.5573 0.9402
7 134.9579 79.2063 0.4 4 21.8444 0.9275
7 134.9579 79.2063 0.4 8 21.6126 0.9257
7 134.9579 79.2063 0.4 12 21.4854 0.9248
7 134.9579 79.2063 0.4 16 22.5155 0.9304
7 134.9579 79.2063 0.5 4 22.2193 0.9287
7 134.9579 79.2063 0.5 8 22.0537 0.9271
7 134.9579 79.2063 0.5 12 21.9146 0.9256
7 134.9579 79.2063 0.5 16 22.5155 0.9304
7 134.9579 79.2063 0.6 4 22.5616 0.9287
7 134.9579 79.2063 0.6 8 22.1648 0.9264
7 134.9579 79.2063 0.6 12 21.9146 0.9256
7 134.9579 79.2063 0.6 16 22.7206 0.9271
7 134.9579 79.2063 0.7 4 22.8684 0.9274
7 134.9579 79.2063 0.7 8 22.4471 0.9239
7 134.9579 79.2063 0.7 12 22.0643 0.9235
7 134.9579 79.2063 0.7 16 22.7206 0.9271
7 134.9579 79.2063 0.8 4 23.0419 0.9254
7 134.9579 79.2063 0.8 8 22.5255 0.9216
7 134.9579 79.2063 0.8 12 22.4089 0.9191
7 134.9579 79.2063 0.8 16 22.9526 0.9175
8 150.8181 92.2064 0.4 4 21.3986 0.9314
8 150.8181 92.2064 0.4 8 21.4526 0.9316
8 150.8181 92.2064 0.4 12 21.6642 0.9327
8 150.8181 92.2064 0.4 16 21.2076 0.9317
8 150.8181 92.2064 0.5 4 21.6114 0.9295
8 150.8181 92.2064 0.5 8 21.4065 0.9274
8 150.8181 92.2064 0.5 12 21.7933 0.9289
8 150.8181 92.2064 0.5 16 21.2076 0.9317
8 150.8181 92.2064 0.6 4 21.6514 0.9267
8 150.8181 92.2064 0.6 8 21.5789 0.9252
8 150.8181 92.2064 0.6 12 21.7933 0.9289
8 150.8181 92.2064 0.6 16 21.3571 0.9213
8 150.8181 92.2064 0.7 4 21.7426 0.9225
8 150.8181 92.2064 0.7 8 21.6573 0.9220
8 150.8181 92.2064 0.7 12 21.6371 0.9206
8 150.8181 92.2064 0.7 16 21.3571 0.9213
8 150.8181 92.2064 0.8 4 21.7452 0.9181
8 150.8181 92.2064 0.8 8 21.5808 0.9144
8 150.8181 92.2064 0.8 12 21.5588 0.9122
8 150.8181 92.2064 0.8 16 21.3571 0.9213
9 144.6945 84.8739 0.4 4 20.1814 0.9248
9 144.6945 84.8739 0.4 8 20.1811 0.9252
9 144.6945 84.8739 0.4 12 20.0747 0.9242
9 144.6945 84.8739 0.4 16 19.8405 0.9213
9 144.6945 84.8739 0.5 4 20.5927 0.9262
9 144.6945 84.8739 0.5 8 20.6581 0.9260
9 144.6945 84.8739 0.5 12 20.5536 0.9239
9 144.6945 84.8739 0.5 16 19.8405 0.9213
9 144.6945 84.8739 0.6 4 20.8941 0.9261
9 144.6945 84.8739 0.6 8 20.7704 0.9246
9 144.6945 84.8739 0.6 12 20.5536 0.9239
9 144.6945 84.8739 0.6 16 20.7673 0.9214
9 144.6945 84.8739 0.7 4 21.1698 0.9246
9 144.6945 84.8739 0.7 8 21.0425 0.9241
9 144.6945 84.8739 0.7 12 21.0485 0.9220
9 144.6945 84.8739 0.7 16 20.7673 0.9214
9 144.6945 84.8739 0.8 4 21.3991 0.9228
9 144.6945 84.8739 0.8 8 21.0953 0.9188
9 144.6945 84.8739 0.8 12 21.1091 0.9160
9 144.6945 84.8739 0.8 16 20.7673 0.9214
10 212.7442 179.3413 0.4 4 12.8492 0.7582
10 212.7442 179.3413 0.4 8 12.4875 0.7548
10 212.7442 179.3413 0.4 12 12.1532 0.7507
10 212.7442 179.3413 0.4 16 12.0952 0.7467
10 212.7442 179.3413 0.5 4 13.0071 0.7617
