image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.6 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 2 17.3901 0.9284
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 4 17.2610 0.9259
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 6 17.2723 0.9266
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 8 17.6268 0.9293
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 10 17.9847 0.9305
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 12 18.0350 0.9310
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 14 18.1192 0.9311
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 16 18.3565 0.9332
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 18 19.6163 0.9418
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.7 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 2 17.0791 0.9239
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 4 17.0550 0.9225
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 6 17.1040 0.9236
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 8 17.2785 0.9237
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 10 17.6572 0.9259
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 12 17.7775 0.9265
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 14 18.1192 0.9311
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 16 18.3565 0.9332
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 18 19.7940 0.9372
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 20 19.6559 0.9439
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.8 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 2 16.7062 0.9185
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 4 16.7498 0.9182
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 6 16.7889 0.9188
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 8 17.1826 0.9217
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 10 17.4701 0.9229
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 12 17.7775 0.9265
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 14 17.6661 0.9243
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 16 17.9166 0.9253
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 18 19.7940 0.9372
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 20 17.7142 0.9231
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 0.9 22 19.8252 0.9386
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 2 16.3524 0.9130
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 4 16.4636 0.9138
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 6 16.5758 0.9157
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 8 16.8955 0.9163
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 10 17.1000 0.9183
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 12 17.4858 0.9203
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 14 17.6661 0.9243
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 16 17.9166 0.9253
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 18 19.7940 0.9372
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 20 17.7142 0.9231
1 156.3898 10.2450 7.2507 7.5071 7.1407 7.3326 1.0 22 19.8252 0.9386
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 2 20.6844 0.9153
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 4 20.6026 0.9158
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 6 20.6603 0.9161
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 8 20.6453 0.9160
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 10 20.8877 0.9185
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 12 20.9502 0.9200
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 14 21.9466 0.9276
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 16 22.5155 0.9304
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.1 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 2 21.3156 0.9217
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 4 21.0533 0.9212
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 6 21.1007 0.9218
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 8 20.8775 0.9188
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 10 20.8877 0.9185
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 12 20.9502 0.9200
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 14 21.9466 0.9276
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 16 22.5155 0.9304
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.2 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 2 21.9888 0.9275
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 4 21.4663 0.9250
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 6 21.4113 0.9245
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 8 21.3022 0.9241
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 10 21.2968 0.9238
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 12 20.9502 0.9200
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 14 21.9466 0.9276
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 16 22.5155 0.9304
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 18 22.3003 0.9268
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.3 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 2 22.7036 0.9321
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 4 21.8444 0.9275
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 6 21.8119 0.9271
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 8 21.6126 0.9257
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 10 21.7244 0.9265
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 12 21.4854 0.9248
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.4 14 21.9466 0.9276
