image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM pre_PSNR pre_SSIM
42 139.6112 8.1943 7.1467 7.1633 7.1126 7.2400 0.1 2 20.2089 0.9192 19.8675 0.9175
43 104.0807 8.5478 7.3937 7.4810 7.4206 7.4501 0.4 4 21.2313 0.9290 21.2066 0.9237
44 76.7703 20.0076 6.9352 7.0590 6.9236 6.8569 0.2 10 25.5310 0.9111 25.1930 0.9085
45 178.0576 7.6671 6.9100 6.6616 6.7088 6.9526 1.0 18 17.4676 0.8976 17.0410 0.9052
46 119.3291 11.7646 6.8822 6.8235 6.8526 7.0380 0.1 2 19.0705 0.8367 19.1500 0.8403
47 132.0067 31.2331 5.8214 5.7706 5.7972 5.9383 0.1 2 26.7513 0.9357 26.5215 0.9361
48 138.5252 4.5864 6.9585 7.0323 6.9697 6.8921 1.0 6 20.1304 0.9167 19.2499 0.9069
49 125.9299 15.7216 6.9920 6.9561 6.9298 6.9635 0.3 12 25.3232 0.9524 25.6498 0.9516
50 138.7749 11.6239 7.1708 6.9280 7.2205 7.4065 0.2 8 23.8877 0.9291 23.6495 0.9307
51 122.3941 8.8556 7.2751 7.3522 7.2052 7.4019 0.2 22 15.7118 0.7664 15.4215 0.7577
52 117.2754 16.5153 7.3936 7.3836 7.3497 7.4169 1.0 2 20.2597 0.8680 20.6472 0.8593
53 91.3575 14.1953 7.4949 7.6269 7.3774 7.4695 0.1 16 23.0252 0.9316 21.6919 0.9291
54 97.9803 8.2888 7.1124 7.1502 7.0924 7.2388 1.0 20 19.8262 0.8419 17.1459 0.8227
55 121.5294 8.1840 6.9922 6.9313 6.8805 7.0246 1.0 4 19.6569 0.8356 19.0000 0.8217
56 138.1634 5.4206 6.8800 6.9188 6.7673 6.7905 0.3 22 20.0255 0.8358 19.9704 0.8278
57 86.5061 6.5140 6.6001 6.8026 6.6093 6.6540 0.8 2 18.8958 0.8103 17.6613 0.7944
58 78.1433 3.7923 6.1831 6.4578 6.2325 6.0605 0.3 4 21.0362 0.8162 20.2913 0.8104
59 90.4521 4.2988 6.4910 6.6402 6.5021 6.4508 0.8 22 17.8982 0.7330 18.4262 0.7323
60 88.8912 3.6449 6.5431 6.6421 6.5547 6.7707 0.9 4 16.4370 0.6505 16.7788 0.6454
61 64.4839 2.8574 6.3588 6.6773 6.4909 6.2595 0.1 2 19.0370 0.7156 19.2215 0.7185
62 72.5177 1.1690 5.7369 5.8955 5.7256 5.8751 1.0 22 16.7896 0.5357 17.1967 0.5290
63 73.9697 1.3901 5.9158 6.1181 5.9239 5.8102 1.0 22 17.5600 0.6091 17.9069 0.5961
64 96.2591 9.0009 7.2580 7.4440 7.0373 5.0561 0.1 2 13.9667 0.7954 13.8196 0.7866
65 111.4544 4.6490 7.0206 7.0581 6.9571 6.7310 0.1 2 21.2098 0.9489 20.6923 0.9444
66 167.6491 3.7380 6.7398 6.1722 6.6423 6.9874 0.1 2 14.3762 0.8152 14.2417 0.8129
67 107.4353 3.7932 6.5837 6.8060 6.5530 6.8064 0.1 6 15.9410 0.8004 15.7712 0.7966
68 119.7544 3.2460 5.8633 5.8601 5.9602 6.1906 0.3 22 18.0276 0.7115 17.3779 0.6984
69 136.6761 8.4689 6.6142 6.6195 6.5840 6.6674 1.0 6 22.2915 0.9209 22.2798 0.9146
70 126.1401 13.4943 7.3047 7.2281 7.1818 7.3288 0.2 2 21.2731 0.9050 20.4756 0.9005
71 136.2914 13.4212 7.2721 7.1591 7.1223 7.2130 0.1 2 20.5089 0.8973 20.3434 0.8954
72 128.9798 16.2072 7.3076 7.0795 7.2835 7.4354 0.7 2 18.6876 0.8706 17.6654 0.8682
73 122.0826 1.5941 5.9198 5.8749 5.9103 6.2117 0.1 18 22.2578 0.8659 20.9274 0.8537
74 116.8799 4.4499 6.2286 6.3402 6.2359 6.3031 0.1 2 16.9308 0.7567 16.6963 0.7540
75 99.1635 1.3272 5.9115 5.9505 5.9570 5.9110 1.0 8 11.0875 0.3842 11.2089 0.3822
76 165.7576 6.4654 6.7559 6.3089 6.5828 6.6395 0.1 2 9.8057 0.6106 9.7593 0.6095
77 49.0682 2.7244 6.1708 6.4407 6.1948 6.1570 0.3 6 21.4756 0.8289 19.7443 0.8155
78 96.2141 5.3034 6.8530 6.9300 6.8523 6.7578 1.0 2 18.7398 0.7665 18.4402 0.7430
79 76.7189 4.2539 6.7100 6.7759 6.7546 6.7275 0.1 2 20.5592 0.8208 19.9229 0.8157
80 91.9540 13.5335 7.1320 7.3357 7.1180 6.9908 1.0 4 24.0249 0.8426 21.5527 0.8420
81 114.4350 6.1917 7.0528 7.0023 7.0434 7.1317 0.1 2 18.0051 0.8258 17.7581 0.8226
82 85.5880 7.5192 6.6895 6.9120 6.6014 6.0704 0.1 10 16.9474 0.8610 16.6637 0.8523
83 130.8866 10.6863 6.1728 5.7818 6.1289 6.3092 0.4 2 13.8343 0.7041 13.2816 0.6961
84 110.7351 6.3730 7.2829 7.2249 7.3058 7.3984 0.9 12 16.8839 0.8162 15.5022 0.7537
85 68.7342 5.2999 6.9929 7.0470 7.0424 7.0385 0.8 20 21.1884 0.9158 17.0402 0.8451
86 65.2367 10.3897 7.3381 7.5552 7.0480 6.5065 1.0 22 18.5248 0.8765 15.0941 0.7815
87 98.2116 14.4872 7.7128 7.7437 7.6775 7.2338 0.8 10 20.8982 0.9120 18.6597 0.8768
88 108.9666 13.2017 7.6750 7.6526 7.5234 6.9820 1.0 22 17.2140 0.8419 15.8619 0.7891
89 94.8913 8.0786 7.4032 7.4334 7.3739 7.5235 1.0 10 20.9610 0.9208 18.3027 0.8839
90 126.1295 16.5687 7.8560 7.7060 7.7966 7.8251 0.7 18 18.5420 0.8965 17.8468 0.8813
91 100.3469 11.7045 7.3689 7.3651 7.3778 7.5729 0.5 16 17.7825 0.8538 16.7040 0.8335
92 112.1568 21.8146 7.7462 7.6862 7.6304 7.7316 1.0 8 21.0615 0.9061 18.8560 0.8830
93 109.2400 12.0573 7.4894 7.4334 7.4866 7.5772 1.0 20 18.7392 0.8958 17.4937 0.8789
94 142.8222 29.0799 7.4634 7.1738 7.2608 7.4761 0.4 8 16.9532 0.8389 15.9524 0.8267
95 98.5406 12.3481 7.4140 7.3921 7.3748 7.5151 1.0 6 17.0001 0.8811 14.7734 0.8522
96 118.3129 13.1582 7.7092 7.6315 7.6499 7.6888 1.0 20 18.5953 0.9195 17.0256 0.9173
97 88.4988 19.8553 7.4220 7.4217 7.3015 6.8270 0.9 22 18.7229 0.9133 16.6521 0.8688
98 89.3637 13.3944 7.6461 7.7611 7.4154 6.6718 1.0 20 17.5435 0.8907 15.6781 0.8484
99 103.4940 7.4526 7.2588 7.2693 7.2342 7.3270 0.3 22 20.3492 0.9002 18.9526 0.8847
100 91.8035 12.3105 7.5942 7.6666 7.5035 7.6109 0.5 2 19.2513 0.9175 17.1978 0.8981
