image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM pre_PSNR pre_SSIM
55 121.5294 8.1840 6.9922 6.9313 6.8805 7.0246 0.6 2 19.8313 0.8342 19.0000 0.8217
56 138.1634 5.4206 6.8800 6.9188 6.7673 6.7905 1.0 2 21.7815 0.8486 19.9704 0.8278
57 86.5061 6.5140 6.6001 6.8026 6.6093 6.6540 0.8 20 20.4354 0.8127 17.6613 0.7944
58 78.1433 3.7923 6.1831 6.4578 6.2325 6.0605 0.7 2 21.8873 0.8211 20.2913 0.8104
59 90.4521 4.2988 6.4910 6.6402 6.5021 6.4508 0.1 6 18.3350 0.7329 18.4262 0.7323
60 88.8912 3.6449 6.5431 6.6421 6.5547 6.7707 0.4 6 16.7683 0.6504 16.7788 0.6454
61 64.4839 2.8574 6.3588 6.6773 6.4909 6.2595 0.1 6 19.1069 0.7162 19.2215 0.7185
62 72.5177 1.1690 5.7369 5.8955 5.7256 5.8751 0.1 2 17.1946 0.5306 17.1967 0.5290
63 73.9697 1.3901 5.9158 6.1181 5.9239 5.8102 0.2 4 17.9362 0.6014 17.9069 0.5961
64 96.2591 9.0009 7.2580 7.4440 7.0373 5.0561 0.8 20 16.0315 0.8489 13.8196 0.7866
65 111.4544 4.6490 7.0206 7.0581 6.9571 6.7310 0.8 20 25.6516 0.9645 20.6923 0.9444
66 167.6491 3.7380 6.7398 6.1722 6.6423 6.9874 1.0 2 15.3697 0.8323 14.2417 0.8129
67 107.4353 3.7932 6.5837 6.8060 6.5530 6.8064 0.8 20 17.6614 0.8263 15.7712 0.7966
68 119.7544 3.2460 5.8633 5.8601 5.9602 6.1906 1.0 2 19.3763 0.7283 17.3779 0.6984
69 136.6761 8.4689 6.6142 6.6195 6.5840 6.6674 0.6 10 22.7631 0.9201 22.2798 0.9146
70 126.1401 13.4943 7.3047 7.2281 7.1818 7.3288 1.0 2 23.5160 0.9183 20.4756 0.9005
71 136.2914 13.4212 7.2721 7.1591 7.1223 7.2130 1.0 2 21.5547 0.9125 20.3434 0.8954
72 128.9798 16.2072 7.3076 7.0795 7.2835 7.4354 0.1 20 20.6877 0.8697 17.6654 0.8682
73 122.0826 1.5941 5.9198 5.8749 5.9103 6.2117 0.8 20 23.3792 0.8707 20.9274 0.8537
74 116.8799 4.4499 6.2286 6.3402 6.2359 6.3031 1.0 2 17.6103 0.7675 16.6963 0.7540
75 99.1635 1.3272 5.9115 5.9505 5.9570 5.9110 0.2 4 11.2092 0.3833 11.2089 0.3822
76 165.7576 6.4654 6.7559 6.3089 6.5828 6.6395 1.0 2 10.5644 0.6360 9.7593 0.6095
77 49.0682 2.7244 6.1708 6.4407 6.1948 6.1570 1.0 2 25.9947 0.8391 19.7443 0.8155
78 96.2141 5.3034 6.8530 6.9300 6.8523 6.7578 0.6 2 19.0630 0.7633 18.4402 0.7430
79 76.7189 4.2539 6.7100 6.7759 6.7546 6.7275 0.9 2 23.8837 0.8425 19.9229 0.8157
80 91.9540 13.5335 7.1320 7.3357 7.1180 6.9908 0.1 20 24.6947 0.8396 21.5527 0.8420
81 114.4350 6.1917 7.0528 7.0023 7.0434 7.1317 1.0 2 19.2080 0.8423 17.7581 0.8226
82 85.5880 7.5192 6.6895 6.9120 6.6014 6.0704 0.8 20 19.5726 0.8881 16.6637 0.8523
83 130.8866 10.6863 6.1728 5.7818 6.1289 6.3092 1.0 2 14.1100 0.7065 13.2816 0.6961
84 110.7351 6.3730 7.2829 7.2249 7.3058 7.3984 1.0 10 17.1282 0.8203 15.5022 0.7537
85 68.7342 5.2999 6.9929 7.0470 7.0424 7.0385 1.0 4 22.5623 0.9235 17.0402 0.8451
86 65.2367 10.3897 7.3381 7.5552 7.0480 6.5065 1.0 2 19.6195 0.8736 15.0941 0.7815
87 98.2116 14.4872 7.7128 7.7437 7.6775 7.2338 0.8 20 21.4616 0.9176 18.6597 0.8768
88 108.9666 13.2017 7.6750 7.6526 7.5234 6.9820 1.0 4 17.4634 0.8367 15.8619 0.7891
89 94.8913 8.0786 7.4032 7.4334 7.3739 7.5235 1.0 4 21.8425 0.9202 18.3027 0.8839
90 126.1295 16.5687 7.8560 7.7060 7.7966 7.8251 1.0 8 19.2048 0.8988 17.8468 0.8813
91 100.3469 11.7045 7.3689 7.3651 7.3778 7.5729 1.0 2 19.8186 0.8697 16.7040 0.8335
92 112.1568 21.8146 7.7462 7.6862 7.6304 7.7316 1.0 6 21.1125 0.9057 18.8560 0.8830
93 109.2400 12.0573 7.4894 7.4334 7.4866 7.5772 0.1 22 18.7482 0.8956 17.4937 0.8789
94 142.8222 29.0799 7.4634 7.1738 7.2608 7.4761 1.0 2 18.9064 0.8641 15.9524 0.8267
95 98.5406 12.3481 7.4140 7.3921 7.3748 7.5151 1.0 2 17.6724 0.8810 14.7734 0.8522
96 118.3129 13.1582 7.7092 7.6315 7.6499 7.6888 0.9 22 19.0316 0.9173 17.0256 0.9173
97 88.4988 19.8553 7.4220 7.4217 7.3015 6.8270 1.0 2 19.5519 0.9150 16.6521 0.8688
98 89.3637 13.3944 7.6461 7.7611 7.4154 6.6718 1.0 2 17.8479 0.8875 15.6781 0.8484
99 103.4940 7.4526 7.2588 7.2693 7.2342 7.3270 1.0 4 22.9213 0.9115 18.9526 0.8847
100 91.8035 12.3105 7.5942 7.6666 7.5035 7.6109 1.0 2 21.1173 0.9214 17.1978 0.8981
